EEF076;SEGURIDAD EN EL MEDIO ACUÁTICO CON LA NATACIÓN;1;Presencial;Lunes;10:50 - 11:50;Piscina UFRO;Fabián Higuera Martínez;
;;;;Martes;08:30 - 09:30;;
;;;;Viernes;10:50 - 11:50;;
EEF076;SEGURIDAD EN EL MEDIO ACUÁTICO CON LA NATACIÓN;2;Presencial;Martes;09:40 - 10:40;Piscina UFRO;Fabián Higuera Martínez;
;;;;Miércoles;12:00 - 13:00;;
;;;;Jueves;12:00 - 13:00;;
EEF082;EXPRESIÓN DEL RITMO Y BAILE MODERNO;1;Presencial;Miércoles;14:30 - 16:40;Sala Multipropósito;Nicole Troncoso Torres;
;;;;Jueves;16:50 - 17:50;;
EEF082;EXPRESIÓN DEL RITMO Y BAILE MODERNO;2;Presencial;Jueves;14:30 - 16:40;Sala Multipropósito;Nicole Troncoso Torres;
;;;;Miércoles;16:50 - 17:50;;
EEF328;MUSCULACIÓN;1;Presencial;Lunes;08:30 - 09:30;Sala de Musculación;Ingrid Fuentealba;
;;;;Miércoles;08:30 - 09:30;;
;;;;Viernes;08:30 - 09:30;;
EEF328;MUSCULACIÓN;2;Presencial;Lunes;09:40 - 10:40;Sala de Musculación;Ingrid Fuentealba;
;;;;Miércoles;09:40 - 10:40;;
;;;;Viernes;09:40 - 10:40;;
EEF330;ESCALADA DEPORTIVA;1;Presencial;Martes;09:40 - 11:50;Muralla Gimnasio Olímpico;Paula Guarda;
;;;;Miércoles;09:40 - 10:40;;
EEF330;ESCALADA DEPORTIVA;2;Presencial;Miércoles;10:50 - 11:50;Muralla Gimnasio Olímpico;Paula Guarda;
;;;;Jueves;09:40 - 11:50;;
EEF503;RUGBY NIVEL INICIAL;1;Presencial;Lunes;16:50 - 19:00;Cancha Futbol 2;Rául Aguilar;
;;;;Miércoles;18:00 - 19:00;;
MSP515;HUERTA AGROECOLÓGICA: SOBERANÍA Y SALUD;1;Presencial;Miércoles;14:30 - 16:40;Sala Edificio Salud Pública (Carrera 228);Rebeca Correa;
APA538;TERAPIAS Y EDUCACIÓN ASISTIDAS CON ANIMALES;1;Presencial;Jueves;14:30 - 17:50;Por confirmar;Henry Von Baer;
DFI223;LA MIGRACIÓN Y EL BLACK MIRROR: CINE, SERIES Y REDES SOCIALES;1;Presencial;Martes;18:00 - 20:10;Auditorio DIFEM;Francisco Venegas;
